step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
910.0,64,3422.0,45.026315789473685,1.703284389518393,64,9807.0,0.05276673309682637,64,9807.0
915.0,66,3751.0,49.35526315789474,1.7754745194791521,66,10136.0,0.0796245398674314,66,10136.0
920.0,66,4081.0,53.0,1.604864949588697,66,10466.0,0.07012469887858125,66,10466.0
925.0,62,3991.0,51.166666666666664,1.9348685631259548,62,10634.0,0.08588151740848292,62,10634.0
930.0,53,3991.0,49.8875,2.527802331999152,53,10658.0,0.10814171569831423,53,10658.0
935.0,56,4265.0,54.67948717948718,2.8204882985484723,56,10701.0,0.0926736727823245,56,10701.0
940.0,55,4513.0,53.726190476190474,2.8221845388398514,55,10961.0,0.11714470679236613,55,10961.0
945.0,58,4796.0,60.70886075949367,2.830560425871034,58,11233.0,0.09628800371448287,58,11233.0
950.0,62,5099.0,63.7375,2.9350249021832093,62,11535.0,0.09136400628156624,62,11535.0
955.0,62,5409.0,72.12,2.254839249749194,62,11845.0,0.08258406882523635,62,11845.0
960.0,57,5603.0,74.70666666666666,1.7375684208570927,57,12072.0,0.08825613217236654,57,12072.0
965.0,57,5857.0,79.14864864864865,2.294898729047746,57,12269.0,0.1096882036316332,57,12269.0
970.0,59,6148.0,78.82051282051282,2.5837654519558813,59,12533.0,0.08099674404612695,59,12533.0
975.0,62,6454.0,84.92105263157895,2.3508310228531606,62,12839.0,0.0796475118712692,62,12839.0
980.0,56,6674.0,88.98666666666666,1.883680546279901,56,13104.0,0.09558907761373876,56,13104.0
985.0,55,6928.0,92.37333333333333,2.636684930492096,55,13324.0,0.11417092266277866,55,13324.0
990.0,56,7207.0,92.3974358974359,3.352286256107392,56,13592.0,0.12355289296439191,56,13592.0
995.0,56,7487.0,102.56164383561644,2.7079133427302966,56,13872.0,0.06663412389116691,56,13872.0
1000.0,52,6965.0,92.86666666666666,2.899590474331006,52,13100.0,0.130867118213196,52,13100.0
1005.0,45,6036.0,88.76470588235294,2.739792682839009,45,11967.0,0.1319799545149856,45,11967.0
1010.0,39,5093.0,68.82432432432432,4.053785721567954,39,10139.0,0.16783677476813608,39,10139.0
1015.0,31,4102.0,56.19178082191781,4.042110594118772,31,10300.0,0.1969219084536639,31,10300.0
1020.0,32,3619.0,54.014925373134325,3.3233642126297473,32,10427.0,0.17469260805576903,32,10427.0
1025.0,40,3812.0,51.513513513513516,3.853118807984951,40,10616.0,0.15605060800013792,40,10616.0
1030.0,46,4035.0,53.0921052631579,3.1285200620785254,46,10839.0,0.1107942092500942,46,10839.0
1035.0,49,4063.0,53.46052631578947,2.2386996433765844,49,10989.0,0.0952716139987699,49,10989.0
1040.0,51,4278.0,54.84615384615385,2.889488246874477,51,11118.0,0.11849405290324092,51,11118.0
1045.0,60,4564.0,57.77215189873418,2.820075138393825,60,11368.0,0.09256613497039069,60,11368.0
1050.0,56,4828.0,64.37333333333333,2.2600488168375277,56,11645.0,0.06779634966424998,56,11645.0
1055.0,56,5108.0,69.02702702702703,2.376366510604658,56,11912.0,0.0900266819509299,56,11912.0
1060.0,57,5391.0,71.88,2.7281244102527094,57,12195.0,0.08471824189748176,57,12195.0
1065.0,53,5383.0,73.73972602739725,2.382708772962857,53,11701.0,0.10320306793634831,53,11701.0
1070.0,47,5179.0,73.98571428571428,2.5411785732458525,47,10764.0,0.11321941341727179,47,10764.0
1075.0,43,5054.0,68.29729729729729,3.9055037103557972,43,9229.0,0.15303243919098466,43,9229.0
1080.0,30,4803.0,69.6086956521739,3.0038402927967867,30,9386.0,0.1322035379087065,30,9386.0
1085.0,31,4738.0,64.9041095890411,4.306921095484125,31,9492.0,0.21660516691591244,31,9492.0
1090.0,38,4913.0,66.39189189189189,3.684814533029415,38,9662.0,0.12626345272100334,38,9662.0
1095.0,48,5134.0,64.175,3.5011840249974546,48,9884.0,0.12030325864399599,48,9884.0
1100.0,55,5392.0,71.89333333333333,1.983857008112936,55,10142.0,0.07566872605239629,55,10142.0
1105.0,65,5694.0,72.07594936708861,1.857423971576384,65,10444.0,0.07586072292864882,65,10444.0
1110.0,68,6030.0,77.3076923076923,1.7093924070789057,68,10780.0,0.07464401231737512,68,10780.0
1115.0,68,6370.0,79.625,1.6327104778373276,68,11120.0,0.05000865685725157,68,11120.0
1120.0,64,6419.0,80.2375,1.9805929692261408,64,11342.0,0.08795191486363499,64,11342.0
1125.0,59,6610.0,80.60975609756098,2.284382540967503,59,11467.0,0.08325695702150182,59,11467.0
1130.0,62,6916.0,85.38271604938272,2.8932022403053788,62,11666.0,0.09966508122156348,62,11666.0
